[I 2025-02-06 12:11:24,330] Trial 0 finished with value: 0.00459446884479891 and parameters: {'eta': 0.16251237448028202, 'max_depth': 7, 'min_child_weight': 9, 'subsample': 0.7911161021968491, 'colsample_bytree': 0.978694695817806, 'scale_pos_weight': 1.4255853367024276}. Best is trial 0 with value: 0.00459446884479891.
[I 2025-02-06 12:29:21,240] Trial 1 finished with value: 0.011768900331150004 and parameters: {'eta': 0.19058403325834578, 'max_depth': 4, 'min_child_weight': 2, 'subsample': 0.8963542054943859, 'colsample_bytree': 0.8115456103870711, 'scale_pos_weight': 1.3551018475935528}. Best is trial 0 with value: 0.00459446884479891.
[I 2025-02-06 12:46:06,895] Trial 2 finished with value: 0.026181533505380074 and parameters: {'eta': 0.12956011445232746, 'max_depth': 3, 'min_child_weight': 11, 'subsample': 0.8052299434087823, 'colsample_bytree': 0.7817768647618657, 'scale_pos_weight': 1.1068558182456498}. Best is trial 0 with value: 0.00459446884479891.
[I 2025-02-06 13:10:36,494] Trial 3 finished with value: 0.005889438198144717 and parameters: {'eta': 0.1320358959412692, 'max_depth': 10, 'min_child_weight': 16, 'subsample': 0.6519595991007374, 'colsample_bytree': 0.5243082310900612, 'scale_pos_weight': 0.5592187039886872}. Best is trial 0 with value: 0.00459446884479891.
[I 2025-02-06 13:31:40,541] Trial 4 finished with value: 0.022707873963674605 and parameters: {'eta': 0.06931636529304007, 'max_depth': 4, 'min_child_weight': 18, 'subsample': 0.7548538218616008, 'colsample_bytree': 0.89222188454393, 'scale_pos_weight': 1.3380784896083917}. Best is trial 0 with value: 0.00459446884479891.
[I 2025-02-06 13:52:40,978] Trial 5 finished with value: 0.010113179393848678 and parameters: {'eta': 0.28455518445825817, 'max_depth': 4, 'min_child_weight': 3, 'subsample': 0.9717875228238536, 'colsample_bytree': 0.5230966784281076, 'scale_pos_weight': 1.3402762354236502}. Best is trial 0 with value: 0.00459446884479891.
[I 2025-02-06 14:12:38,870] Trial 6 finished with value: 0.01768996230529619 and parameters: {'eta': 0.10898388203506575, 'max_depth': 4, 'min_child_weight': 6, 'subsample': 0.9647155205312461, 'colsample_bytree': 0.8733072799589539, 'scale_pos_weight': 0.5851767575279178}. Best is trial 0 with value: 0.00459446884479891.
[I 2025-02-06 14:39:42,924] Trial 7 finished with value: 0.003579593258074267 and parameters: {'eta': 0.23627619480667716, 'max_depth': 10, 'min_child_weight': 12, 'subsample': 0.9381992787801908, 'colsample_bytree': 0.8292237922195034, 'scale_pos_weight': 0.9060997144867651}. Best is trial 7 with value: 0.003579593258074267.
[I 2025-02-06 15:00:56,871] Trial 8 finished with value: 0.02164173726402925 and parameters: {'eta': 0.05058783017065263, 'max_depth': 5, 'min_child_weight': 6, 'subsample': 0.8922231364807761, 'colsample_bytree': 0.6597939690920448, 'scale_pos_weight': 1.0819551819713094}. Best is trial 7 with value: 0.003579593258074267.
[I 2025-02-06 15:21:56,749] Trial 9 finished with value: 0.015338695126901622 and parameters: {'eta': 0.03716659691016558, 'max_depth': 6, 'min_child_weight': 2, 'subsample': 0.5681319837481329, 'colsample_bytree': 0.8725615428775927, 'scale_pos_weight': 1.4469900947433834}. Best is trial 7 with value: 0.003579593258074267.
[I 2025-02-06 15:47:20,736] Trial 10 finished with value: 0.012906888692177465 and parameters: {'eta': 0.017964540958781115, 'max_depth': 10, 'min_child_weight': 14, 'subsample': 0.5064392821177068, 'colsample_bytree': 0.6685372819446156, 'scale_pos_weight': 0.8040990853021482}. Best is trial 7 with value: 0.003579593258074267.
[I 2025-02-06 16:11:59,150] Trial 11 finished with value: 0.0037313715470342697 and parameters: {'eta': 0.2729346317452341, 'max_depth': 8, 'min_child_weight': 11, 'subsample': 0.8162670666305964, 'colsample_bytree': 0.9895304362179758, 'scale_pos_weight': 0.8953351203638285}. Best is trial 7 with value: 0.003579593258074267.
[I 2025-02-06 16:35:38,623] Trial 12 finished with value: 0.0038475451125630535 and parameters: {'eta': 0.27585919193690056, 'max_depth': 8, 'min_child_weight': 13, 'subsample': 0.8682937403762158, 'colsample_bytree': 0.9467615380682123, 'scale_pos_weight': 0.8941115058123182}. Best is trial 7 with value: 0.003579593258074267.
[I 2025-02-06 16:57:17,506] Trial 13 finished with value: 0.010973495443906509 and parameters: {'eta': 0.02369201796877912, 'max_depth': 9, 'min_child_weight': 9, 'subsample': 0.6764741796724307, 'colsample_bytree': 0.99804986323089, 'scale_pos_weight': 0.7572618692741737}. Best is trial 7 with value: 0.003579593258074267.
[I 2025-02-06 17:21:01,345] Trial 14 finished with value: 0.027936988083992306 and parameters: {'eta': 0.010359489086866739, 'max_depth': 8, 'min_child_weight': 20, 'subsample': 0.8525291067251592, 'colsample_bytree': 0.7143519404744498, 'scale_pos_weight': 0.9689687238362441}. Best is trial 7 with value: 0.003579593258074267.
[I 2025-02-06 17:44:45,449] Trial 15 finished with value: 0.005474389242195981 and parameters: {'eta': 0.09413092524471964, 'max_depth': 9, 'min_child_weight': 12, 'subsample': 0.9820063747118952, 'colsample_bytree': 0.8174364849153887, 'scale_pos_weight': 0.71927014035407}. Best is trial 7 with value: 0.003579593258074267.
[I 2025-02-06 18:08:11,895] Trial 16 finished with value: 0.0042375412606999565 and parameters: {'eta': 0.2325911962246453, 'max_depth': 8, 'min_child_weight': 15, 'subsample': 0.6932333747301422, 'colsample_bytree': 0.9329159570561028, 'scale_pos_weight': 1.1127394044776946}. Best is trial 7 with value: 0.003579593258074267.
[I 2025-02-06 18:35:48,226] Trial 17 finished with value: 0.005369736486283093 and parameters: {'eta': 0.08187192949801769, 'max_depth': 9, 'min_child_weight': 8, 'subsample': 0.9114264064735178, 'colsample_bytree': 0.5937677219210624, 'scale_pos_weight': 0.9310055140593354}. Best is trial 7 with value: 0.003579593258074267.
[I 2025-02-06 19:07:36,305] Trial 18 finished with value: 0.005883839715909019 and parameters: {'eta': 0.2005595335754256, 'max_depth': 7, 'min_child_weight': 17, 'subsample': 0.8186074193920969, 'colsample_bytree': 0.7433754350365542, 'scale_pos_weight': 0.6503420345921582}. Best is trial 7 with value: 0.003579593258074267.
[I 2025-02-06 19:40:55,986] Trial 19 finished with value: 0.0053075511980711825 and parameters: {'eta': 0.05976347576522008, 'max_depth': 10, 'min_child_weight': 11, 'subsample': 0.7277374235646592, 'colsample_bytree': 0.8423148281629822, 'scale_pos_weight': 1.180793753464983}. Best is trial 7 with value: 0.003579593258074267.
[I 2025-02-06 20:10:35,565] Trial 20 finished with value: 0.004016662377934883 and parameters: {'eta': 0.2998203327527554, 'max_depth': 6, 'min_child_weight': 6, 'subsample': 0.9336485328746367, 'colsample_bytree': 0.9365003290365393, 'scale_pos_weight': 0.8648224270150142}. Best is trial 7 with value: 0.003579593258074267.
[I 2025-02-06 20:43:39,958] Trial 21 finished with value: 0.004209393732899904 and parameters: {'eta': 0.15837498952797385, 'max_depth': 9, 'min_child_weight': 13, 'subsample': 0.8384715546136636, 'colsample_bytree': 0.9406507342219795, 'scale_pos_weight': 0.8776191789468615}. Best is trial 7 with value: 0.003579593258074267.
